ID,Position X,Position Y,Position Z,Volume_um3,Position X (voxels),Position Y (voxels),Position Z (voxels),uIntCh_1,uIntCh_2,uIntCh_3,uIntCh_4,SynapseStatus,TerminalStatus,XYZinROI?,CropX,CropY,ZStart,ZEnd
128,21.453,19.868,11.664,0.468,346.577,320.964,34,23879,6099,13763.1,2680.35,Unpaired,NA,Yes,330.422,304.809,32,36
129,25.95,16.817,5.497,0.371,419.223,271.682,16,21900.301,15806.1,5297.19,2315.15,Synapse,NA,Yes,403.068,255.527,14,18
130,18.294,21.036,13.193,0.156,295.533,339.834,39,17721.1,8316.55,8990.83,8713.51,Synapse,NA,Yes,279.378,323.679,37,41
131,20.021,19.036,12.894,0.104,323.448,307.525,38,16530,8155.43,12216,2290.51,Synapse,NA,Yes,307.293,291.37,36,40
132,15.165,23.549,11.792,0.159,244.99,380.439,35,18500.801,11384.3,13468.3,12961.8,Synapse,NA,Yes,228.835,364.284,33,37
133,15.04,22.583,13.512,0.435,242.968,364.824,40,22324.6,13535.5,19074.199,17848.1,Synapse,NA,Yes,226.813,348.669,38,42
134,19.358,19.565,7.048,0.233,312.737,316.069,21,19335.801,16565.699,6383.61,2357.72,Synapse,NA,Yes,296.582,299.914,19,23
135,20.097,18.205,6.712,0.229,324.667,294.108,20,19652.5,13182.8,6002.38,2398.76,Synapse,NA,Yes,308.512,277.953,18,22
136,22.593,14.595,7.31,0.134,364.985,235.79,21,16828,17230.4,6674.1,2538.28,Synapse,NA,Yes,348.83,219.635,19,23
137,17.352,18.851,10.226,0.229,280.321,304.543,30,19494.6,8903.86,4903.71,9865.79,Synapse,NA,Yes,264.166,288.388,28,32
138,13.786,21.675,9.971,0.132,222.716,350.158,29,16815.301,15406.8,8446.78,13686.9,Synapse,NA,Yes,206.561,334.003,27,31
139,13.052,21.47,10.853,0.143,210.863,346.856,32,17882.699,12017.4,9208.83,9921.32,Synapse,NA,Yes,194.708,330.701,30,34
140,13.598,22.42,6.348,0.299,219.679,362.204,19,20070.1,13577.8,11062.7,3831.01,Synapse,NA,Yes,203.524,346.049,17,21
141,12.049,23.058,8.506,0.144,194.648,372.502,25,17098,8320.47,11825.8,6350.31,Synapse,NA,Yes,178.493,356.347,23,27
142,15.293,19.154,5.103,0.278,247.065,309.439,15,20009.301,12440.1,5915.45,2391.74,Synapse,NA,Yes,230.91,293.284,13,17
143,9.282,23.06,9.242,0.19,149.948,372.53,27,16682.199,4487.22,7284.89,2299.13,Unpaired,NA,Yes,133.793,356.375,25,29
144,6.749,21.831,14.219,0.258,109.033,352.683,42,19240.801,10762.3,24190,5450.2,Synapse,NA,Yes,92.878,336.528,40,44
145,13.524,17.463,4.798,0.293,218.475,282.118,14,17814,12878.6,5601.75,2248.45,Synapse,NA,Yes,202.32,265.963,12,16
