ID,Position X,Position Y,Position Z,Volume_um3,Position X (voxels),Position Y (voxels),Position Z (voxels),uIntCh_1,uIntCh_2,uIntCh_3,uIntCh_4,SynapseStatus,TerminalStatus,XYZinROI?,CropX,CropY,ZStart,ZEnd
107,77.434,21.777,8.425,0.512,1250.948,351.808,25,7344.75,12347.1,5799.63,4196.25,Synapse,Negative,Yes,1234.793,335.653,23,27
110,71.496,24.497,12.423,0.256,1155.029,395.753,37,11094.3,11131.3,9204.4,9247.18,Synapse,Positive,Yes,1138.874,379.598,35,39
113,79.011,17.854,8.072,0.241,1276.43,288.433,24,5890.17,10667.1,6425.63,3811.19,Synapse,Negative,Yes,1260.275,272.278,22,26
116,72.506,21.65,13.674,0.372,1171.336,349.754,40,8806.29,11585.7,16307.8,4813.63,Synapse,Uncertain,Yes,1155.181,333.599,38,42
118,70.393,26.759,6.732,0.658,1137.199,432.289,20,13332.7,14231.4,8882.65,5581.11,Synapse,Uncertain,Yes,1121.044,416.134,18,22
119,69.96,22.959,13.359,0.11,1130.204,370.901,39,11710.1,10101.8,16289.7,11398.7,Synapse,Positive,Yes,1114.049,354.746,37,41
120,69.697,25.952,9.024,0.724,1125.953,419.26,27,10542.6,14358.2,12059.8,14131,Synapse,Positive,Yes,1109.798,403.105,25,29
122,70.735,24.86,5.733,0.834,1142.73,401.616,17,11643.2,14792.3,7891.18,4081.89,Synapse,Negative,Yes,1126.575,385.461,15,19
125,64.556,27.391,12.16,0.158,1042.905,442.507,36,13340.3,10383.3,11945.1,7994.8,Synapse,Positive,Yes,1026.75,426.352,34,38
127,73.953,20.714,6.586,0.675,1194.724,334.638,19,7260.84,14599.7,7055.92,4342.41,Synapse,Negative,Yes,1178.569,318.483,17,21
128,67.466,23.325,12.706,0.296,1089.922,376.822,37,9319.66,11563.5,12236.6,7772.35,Synapse,Uncertain,Yes,1073.767,360.667,35,39
129,65.172,27.167,11.119,0.381,1052.856,438.88,33,7829.01,10990.2,10458.9,6431.62,Synapse,Negative,Yes,1036.701,422.725,31,35
130,68.516,23.861,11.212,0.671,1106.879,385.469,33,12025.4,12375,10198.5,16597.1,Synapse,Positive,Yes,1090.724,369.314,31,35
131,71.143,22.018,5.352,0.831,1149.326,355.696,16,9640.28,15646.7,10821.9,5672,Synapse,Uncertain,Yes,1133.171,339.541,14,18
132,63.953,27.629,10.142,0.397,1033.17,446.346,30,11029.1,11709.5,12304.9,7840.88,Synapse,Positive,Yes,1017.015,430.191,28,32
133,65.183,25.346,13.773,0.577,1053.044,409.465,41,10539.7,11522.4,20565.6,13568.6,Synapse,Positive,Yes,1036.889,393.31,39,43
134,66.554,23.737,7.654,0.472,1075.192,383.478,23,7584.91,13086.8,4079.36,7609.63,Synapse,Positive,Yes,1059.037,367.323,21,25
135,62.284,27.462,10.875,0.479,1006.207,443.654,32,16427.1,11999.2,6026.49,11829.7,Synapse,Positive,Yes,990.052,427.499,30,34
136,67.37,21.669,13.364,0.18,1088.37,350.058,39,8928.77,10496.9,11767.9,26501.801,Synapse,Positive,Yes,1072.215,333.903,37,41
137,63.509,23.216,15.281,0.118,1025.995,375.058,45,9167.7,10256.9,22042.9,9013.11,Synapse,Negative,Yes,1009.84,358.903,43,47
138,69.078,20.464,9.033,0.429,1115.966,330.604,27,5794.79,11554.4,4501.23,3498.33,Synapse,Negative,Yes,1099.811,314.449,25,29
139,63.112,25.482,12.272,0.288,1019.583,411.67,36,9042.12,10709.3,16007.2,9023.44,Synapse,Positive,Yes,1003.428,395.515,34,38
142,65.697,24.542,6.972,0.971,1061.342,396.483,21,8986.58,13784.4,9823.16,4598.4,Synapse,Negative,Yes,1045.187,380.328,19,23
143,71.114,15.266,7.397,0.185,1148.859,246.617,22,7123.62,10519,7002.44,4185.57,Synapse,Negative,Yes,1132.704,230.462,20,24
